Temperature (°C),Resistance Value (Ratio),Resistance Value (Ohms),Vin (b/t therm & 6.49k res),"Vout (opamp output, gain 2)",ADC Counts
-40,40.49,4049000,0.005280989474,0.01056197895,13.10965629
-35,28.81,2881000,0.007417168544,0.01483433709,18.412559
-30,20.72,2072000,0.01030411501,0.02060823001,25.57918489
-25,15.07,1507000,0.0141507377,0.0283014754,35.12813431
-20,11.06,1106000,0.019251409,0.038502818,47.79016441
-15,8.198,819800,0.02591947137,0.05183894274,64.34312408
-10,6.129,612900,0.03457756825,0.06915513651,85.83619367
-5,4.622,462200,0.04569544902,0.09139089803,113.4354904
0,3.515,351500,0.05982569346,0.1196513869,148.5127518
5,2.694,269400,0.07762876509,0.1552575302,192.7075284
10,2.08,208000,0.0998508089,0.1997016178,247.8720686
15,1.618,161800,0.1272624636,0.2545249272,315.9194248
20,1.267,126700,0.1608003604,0.3216007208,399.1747128
25,1,100000,0.2011174758,0.4022349516,499.2588975
30,0.7944,79440,0.2492377517,0.4984755033,618.7138368
35,0.635,63500,0.3060008573,0.6120017145,759.6239463
40,0.5108,51080,0.3720166754,0.7440333507,923.5032135
45,0.4132,41320,0.4479606777,0.8959213554,1112.028446
50,0.3363,33630,0.5338235294,1.067647059,1325.176471
55,0.2752,27520,0.629726551,1.259453102,1563.248456
60,0.2263,22630,0.7354739011,1.470947802,1825.758242
65,0.1871,18710,0.8498809524,1.699761905,2109.765079
70,0.1554,15540,0.9721743078,1.944348616,2413.349069
75,0.1297,12970,1.100565262,2.201130524,2732.069887
80,0.1087,10870,1.233698157,2.467396313,3062.562212
85,0.09153,9153,1.369110784,2.738221569,3398.713802
90,0.07738,7738,1.505271296,3.010542592,3736.721957
95,0.06567,6567,1.640269587,3.280539174,4071.844987
100,0.05596,5596,1.772050306,3.544100612,4398.980639
105,0.04786,4786,1.899343739,3.798687478,4714.976942
110,0.04108,4108,2.020852991,4.041705982,5016.614456
115,0.03539,3539,2.13550703,4.271014059,5301.23442
120,0.03059,3059,2.242852655,4.485705309,5567.711802
125,0.02652,2652,2.342704004,4.685408007,5815.585211
130,0.02307,2307,2.43457997,4.869159941,6043.660339
135,0.02013,2013,2.518758085,5.037516171,6252.626132
140,0.01762,1762,2.595370819,5.190741638,6442.81144
145,0.01546,1546,2.665131906,5.330263813,6615.988054
150,0.01361,1361,2.727932747,5.455865495,6771.886384
